   17    9.58         2.     0.0129     0.125    0.0882 0.3707 0.0087 -84.49   0.84  441.00   0.06  297.00   0.05    -0.15 0.0172  0.114 1.75911  -0.751 0.00702 0.00697       505.16       697.52   -6.76   -7.11    181    293   0.00147  0.0063    0.0179 0.00661  -0.00624 0.00607   -0.0101 0.00614    47     0   1  0     INDEF   2.0
   18   10.53       1.85     0.0103     0.105     0.074 0.3707 0.0075 -84.49   0.73  441.00   0.06  297.00   0.04   -0.128 0.0126 0.0982 1.80153   -0.67 0.00603 0.00599       574.57       784.21    -6.9   -7.24    217    349   0.00322  0.0053    0.0184 0.00555  -0.00298 0.00527   0.00103 0.00524    52     0   1  0     INDEF   2.0
   19   11.59       1.72    0.00841    0.0898    0.0635 0.3707 0.0087 -84.49   0.84  441.00   0.08  297.00   0.05   -0.107 0.0095 0.0883 1.84497  -0.587 0.00533  0.0053       666.71       889.81   -7.06   -7.37    269    421   -0.0134 0.00644    0.0146 0.00644   0.00819 0.00618    0.0077 0.00617    57     0   1  0     INDEF   2.0
   20   12.75       1.59    0.00706    0.0793    0.0561 0.3707 0.0098 -84.49   0.96  441.00   0.09  297.00   0.07  -0.0796 0.0076 0.0957 1.88946  -0.506 0.00482  0.0048       752.07       1012.7   -7.19   -7.51    321    509  -0.00796 0.00705     0.025 0.00735    0.0137  0.0069  -3.64E-4 0.00674    63     0   1  0     INDEF   2.0
   21   14.02       1.49    0.00667    0.0783    0.0554 0.3707 0.0094 -84.49   0.91  441.00   0.10  297.00   0.07  -0.0685 0.0069  0.101 1.93502  -0.434 0.00486 0.00484       848.52       1149.4   -7.32   -7.65    383    613    0.0022 0.00742   9.32E-4 0.00738   0.00874 0.00682   -0.0227 0.00713    69     0   1  0     INDEF   2.0
   22   15.42        1.4      0.007    0.0863     0.061 0.3707 0.0101 -84.49   0.98  441.00   0.12  297.00   0.08  -0.0565 0.0063  0.111 1.98168  -0.362 0.00546 0.00543       973.21       1314.7   -7.47    -7.8    469    749   2.77E-4 0.00746   -0.0258 0.00795  -0.00329 0.00698    -0.022 0.00737    76     0   1  0     INDEF   2.0
   23   16.96       1.31    0.00672    0.0866    0.0612 0.3707 0.0129 -84.49   1.24  441.00   0.17  297.00   0.12   -0.046 0.0055  0.119 2.02946  -0.292 0.00559 0.00556       1102.8       1466.7   -7.61   -7.92    565    885  -0.00494 0.00953   -0.0316  0.0102  -0.00431 0.00903   -0.0267 0.00959    83     0   1  0     INDEF   2.0
   24   18.66       1.23     0.0064    0.0863     0.061 0.3707 0.0136 -84.49   1.31  441.00   0.19  297.00   0.14  -0.0383 0.0046   0.12 2.07840  -0.225 0.00566 0.00563       1255.9        1680.   -7.75   -8.06    685   1093   -0.0255 0.00998   -0.0399  0.0107   -0.0032 0.00945  -0.00739 0.00955    91     0   1  0     INDEF   2.0
   25   20.53       1.16    0.00573     0.081    0.0573 0.3707 0.0126 -84.49   1.21  441.00   0.20  297.00   0.14  -0.0384 0.0053  0.138 2.12852   -0.16 0.00538 0.00535       1430.5       1895.5   -7.89   -8.19    831   1321    -0.038    0.01   -0.0322  0.0097  -0.00165  0.0085    0.0104  0.0087   100     0   1  0     INDEF   2.0
   26   22.58       1.06    0.00452     0.067    0.0474 0.3707 0.0088 -84.49   0.84  441.00   0.15  297.00   0.11  -0.0356 0.0046   0.13 2.17985 -0.0665 0.00462  0.0046       1628.3       2145.7   -8.03   -8.33   1009   1605   -0.0184 0.00708  -0.00439 0.00673   0.00706 0.00626    0.0245   0.007   110     0   1  0     INDEF   2.0
